year,info,title
2013,"{'actors': ['Chiwetel Ejiofor', 'Michael K. Williams', 'Michael Fassbender'], 'release_date': '2013-08-30T00:00:00Z', 'plot': 'In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.', 'genres': ['Biography', 'Drama', 'History'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMjExMTEzODkyN15BMl5BanBnXkFtZTcwNTU4NTc4OQ@@._V1_SX400_.jpg', 'directors': ['Steve McQueen'], 'rating': Decimal('7.7'), 'rank': Decimal('44'), 'running_time_secs': Decimal('7980')}",12 Years a Slave
2013,"{'actors': ['Denzel Washington', 'Mark Wahlberg', 'Paula Patton'], 'release_date': '2013-07-30T00:00:00Z', 'plot': 'A DEA agent and a naval intelligence officer find themselves on the run after a botched attempt to infiltrate a drug cartel. While fleeing, they learn the secret of their shaky alliance: Neither knew that the other was an undercover agent.', 'genres': ['Action', 'Comedy', 'Crime', 'Drama', 'Thriller'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BNTQ5MTgzNDg4OF5BMl5BanBnXkFtZTcwMjAyODEzOQ@@._V1_SX400_.jpg', 'directors': ['Baltasar Kormakur'], 'rating': Decimal('7'), 'rank': Decimal('62'), 'running_time_secs': Decimal('6540')}",2 Guns
2013,"{'actors': ['Chadwick Boseman', 'T.R. Knight', 'Harrison Ford'], 'release_date': '2013-04-12T00:00:00Z', 'plot': 'The life story of Jackie Robinson and his history-making signing with the Brooklyn Dodgers under the guidance of team executive Branch Rickey.', 'genres': ['Biography', 'Drama', 'Sport'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTQwMDU4MDI3MV5BMl5BanBnXkFtZTcwMjU1NDgyOQ@@._V1_SX400_.jpg', 'directors': ['Brian Helgeland'], 'rating': Decimal('7.5'), 'rank': Decimal('229'), 'running_time_secs': Decimal('7680')}",42
2013,"{'actors': ['Domhnall Gleeson', 'Rachel McAdams', 'Bill Nighy'], 'release_date': '2013-06-27T00:00:00Z', 'plot': 'At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.', 'genres': ['Comedy', 'Drama', 'Sci-Fi'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTA1ODUzMDA3NzFeQTJeQWpwZ15BbWU3MDgxMTYxNTk@._V1_SX400_.jpg', 'directors': ['Richard Curtis'], 'rating': Decimal('7.6'), 'rank': Decimal('94'), 'running_time_secs': Decimal('7380')}",About Time
2013,"{'actors': ['Naomi Watts', 'Robin Wright', 'Xavier Samuel'], 'release_date': '2013-01-18T00:00:00Z', 'plot': ""A pair of childhood friends and neighbors fall for each other's sons."", 'genres': ['Drama'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMjg5ODY2MzcwMF5BMl5BanBnXkFtZTcwODEwNjQ3OQ@@._V1_SX400_.jpg', 'directors': ['Anne Fontaine'], 'rating': Decimal('6.1'), 'rank': Decimal('205'), 'running_time_secs': Decimal('6000')}",Adore
2013,"{'actors': ['Jaden Smith', 'David Denman', 'Will Smith'], 'release_date': '2013-05-01T00:00:00Z', 'plot': ""A crash landing leaves Kitai Raige and his father Cypher stranded on Earth, a millennium after events forced humanity's escape. With Cypher injured, Kitai must embark on a perilous journey to signal for help."", 'genres': ['Action', 'Adventure', 'Sci-Fi'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTY3MzQyMjkwMl5BMl5BanBnXkFtZTcwMDk2OTE0OQ@@._V1_SX400_.jpg', 'directors': ['M. Night Shyamalan'], 'rating': Decimal('4.9'), 'rank': Decimal('17'), 'running_time_secs': Decimal('6000')}",After Earth
2013,"{'actors': ['Christian Bale', 'Amy Adams', 'Bradley Cooper'], 'release_date': '2013-12-13T00:00:00Z', 'plot': 'The story of a con artist and his partner in crime, who were forced to work with a federal agent to turn the tables on other cons, mobsters, and politicians - namely, the volatile mayor of impoverished Camden, New Jersey.', 'genres': ['Drama'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMjkyNDY3Mzg2Ml5BMl5BanBnXkFtZTgwMzU0OTYzMDE@._V1_SX400_.jpg', 'directors': ['David O. Russell'], 'rank': Decimal('203')}",American Hustle
2013,"{'actors': ['Will Ferrell', 'Christina Applegate', 'Paul Rudd'], 'release_date': '2013-12-19T00:00:00Z', 'plot': ""With the 70s behind him, San Diego's top rated newsman, Ron Burgundy, returns to take New York's first 24-hour news channel by storm."", 'genres': ['Comedy'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTM5NTY0NTUzOV5BMl5BanBnXkFtZTcwMDY2MzA3OQ@@._V1_SX400_.jpg', 'directors': ['Adam McKay'], 'rank': Decimal('182')}",Anchorman 2: The Legend Continues
2013,"{'actors': ['Keri Russell', 'JJ Feild', 'Jennifer Coolidge'], 'release_date': '2013-01-18T00:00:00Z', 'plot': 'Obsessed with [link=tt0112130], a woman travels to a [link=nm0000807] theme park in search for her perfect gentleman.', 'genres': ['Comedy', 'Romance'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMjE2MTUzMjgyNF5BMl5BanBnXkFtZTcwNjY4NDM4OQ@@._V1_SX400_.jpg', 'directors': ['Jerusha Hess'], 'rating': Decimal('5.8'), 'rank': Decimal('260'), 'running_time_secs': Decimal('5820')}",Austenland
2013,"{'actors': ['Johnny Knoxville', 'Jackson Nicoll', 'Spike Jonze'], 'release_date': '2013-10-23T00:00:00Z', 'plot': '86-year-old Irving Zisman is on a journey across America with the most unlikely companion: his 8 year-old grandson, Billy.', 'genres': ['Comedy'], 'image_url': 'http://ia.media-imdb.com/images/M/MV5BMTg4NjIwMTI5OV5BMl5BanBnXkFtZTgwNjU1MTMyMDE@._V1_SX400_.jpg', 'directors': ['Jeff Tremaine'], 'rank': Decimal('160')}",Bad Grandpa
